Appearance	Cussing	Hatred	NOT	Racial	Sexual	Violence	Text	WordCount	WordCountGroup
1	0	0	0	0	0	0	شش أقرع	2	Very Short
1	0	0	0	0	0	0	دىود بقره	2	Very Short
1	0	0	0	0	0	0	ي تجيب مدافع طويل القامه للكورات العرضية او اكفتي بالقزمان الي عندك تروح تجيب قزم غيرهم نادي احول	18	Long
1	0	0	0	0	0	0	ترا والله العظيم في افضل منك كثير تلعب زين والا اطلع يا دب	13	Medium
1	0	0	0	0	0	0	مقلبظ بس مش أقرع يا كستها	6	Short
1	0	0	0	0	0	0	متزعلش يا اقرع 😂 😂	5	Short
1	0	0	0	0	0	0	تخسى يا دب	3	Very Short
1	0	0	0	0	0	0	بقى دي أنتي برضة ده انتي بقرة حلوب اخرك بهيمه حرت	11	Medium
1	0	0	0	0	0	0	لا قصدي يا لحجي	4	Very Short
1	0	0	0	0	0	0	يعع لحجي شوفي اسمه بالله 💔 💔	7	Short
1	0	0	0	0	0	0	ياووك يالقبح بشعه	3	Very Short
1	0	0	0	0	0	0	مشكله براطم 😂 😂	4	Very Short
1	0	0	0	0	0	0	كرش ابو نص ساعه	4	Very Short
1	0	0	0	0	0	0	مافي ولا مربربه سمينه مشحمه تحب تنحلب ديودها ماسوشيه بقرة	10	Medium
1	0	0	0	0	0	0	الفيصلي يلعب لاعبين يابو كرش وما فلحتوا تذكرت بيرسبوليس 😂 😂	11	Medium
1	0	0	0	0	0	0	ذا لحجي	2	Very Short
1	0	0	0	0	0	0	خرريطه السناب من المسوول عنها ممتاز يا ابو خشم استمر دائما	11	Medium
1	0	0	0	0	0	0	ام تيز خشب جت اهيه 😂 😂	7	Short
1	0	0	0	0	0	0	شدعوه ذا خشم ولا ماطور	5	Short
1	0	0	0	0	0	0	اكتب زين الله يصلحك وتعال طقطق ي ابو خشم وجبه يحتاج اجيب سيارتي افحط ف ام جبهتك يبزر ويطقطق ويقول	20	Very Long
1	0	0	0	0	0	0	مصر بلحة العفن	3	Very Short
1	0	0	0	0	0	0	ماهو وقتك تعال بعدين حنا مشغولين بالترحيب بأهلنا القطريين يا مندس يا قزم صب القهوه	15	Long
1	0	0	0	0	0	0	ابو خشم بيجيب أريانا غراندي و جاستن 😭 😭	9	Short
1	0	0	0	0	0	0	في حتت حمار اقرع من امبارح يلطم ويقول ده حسب ترتيب الحروف انا موافق بس نفسي اقوله حتي في الحروف متاخرين برضو	22	Very Long
1	0	0	0	0	0	0	يا رجل صحيت لقيته منفوخ شكله بالشهر الثامن 😂	9	Short
1	0	0	0	0	0	0	خشم حواجب جبهة انت يبيلك ترميم 😂 😂 ❤ ️	10	Medium
1	0	0	0	0	0	0	دبه لموي 😂 😂	4	Very Short
0	0	0	1	0	0	0	دبة ماء		
1	0	0	0	0	0	0	اسفه اشوفها لحجية 😭	4	Very Short
1	0	0	0	0	0	0	ركبتك سودا 🤣	3	Very Short
1	0	0	0	0	0	0	مانهوا هير يو ار منفوخة و كريهه واكثر شي ممل شفته بحياتي حسنتها الوحيدة النظارات اللي يلبسها البوتوم	18	Long
1	0	0	0	0	0	0	الحمدلله اي هبه لحجيه ماكنت اسويها	6	Short
1	0	0	0	0	0	0	مين اللي قصير ي قزم 😂 😂	7	Short
1	0	0	0	0	0	0	لأ هنا واحد اقرع والتاني بكرش والاتنين أصحابي 😂 😂	10	Medium
1	0	0	0	0	0	0	راكي غالطة ختي ميمي كاين فيهم اقزام ثاني هه	9	Short
1	0	0	0	0	0	0	مش أنا يعم أنت أحول 🤣 🤣	7	Short
1	0	0	0	0	0	0	خلاص يا جدعان نشطبه طالما ملعبش اول مره ف حياته فى الأهلى ونمسك الكابتن تونس ابو صرم النادى عشان اتول	20	Very Long
1	0	0	0	0	0	0	ام كرش 😂	3	Very Short
1	0	0	0	0	0	0	كنه فرح صارت دبه	4	Very Short
1	0	0	0	0	0	0	ضحكة السادات تذكرني بضحكة العفن بلحة الغباء والعمالة لا حدود لها	11	Medium
1	0	0	0	0	0	0	تعالي ياكلبه يابقره خنزيره كلب	5	Short
1	0	0	0	0	0	0	والله البقره انتي اللي حقيقه اللي مثلك حرام يشجع فريق الاهلي انتي ومن على ش	15	Long
1	0	0	0	0	0	0	طرب ي دبه	3	Very Short
1	0	0	0	0	0	0	ناقص الوزير بقره عسكريه قرعه بلد البلح	7	Short
1	0	0	0	0	0	0	متخيلك دبه يعني مو مره بس وزنك يمكن وججهك كبير كلها خدود وشعرك قصيرك بويه ودائما تضحكين الي حولك — فارسه احلامك 🙈	23	Very Long
1	0	0	0	0	0	0	😢 😢 بيحبوا أبو كرش	5	Short
1	0	0	0	0	0	0	لسه وقت بحبو بعض و يسلمو ع بعض 😂 😂 كيفك يا دبة لك اهلين بالبقرة اشتقتلك يا حيوانة	19	Long
1	0	0	0	0	0	0	هو في غيري معبرك ويشارك عندك يا سودا روحي لطي بودره على وجهك احسن لك من تويتر	17	Long
1	0	0	0	0	0	0	طالعلك كرش عقبال الشوارب	4	Very Short
1	0	0	0	0	0	0	عزيزتي النتفه حاولي بكل قوتك ماتكوني دبه يكفي قصرك الله لا يكثركم ☹️	13	Medium
1	0	0	0	0	0	0	كريه وحياتك سودا	3	Very Short
1	0	0	0	0	0	0	صاير سمين	2	Very Short
1	0	0	0	0	0	0	دبه 😹😹 😭 😹	4	Very Short
1	0	0	0	0	0	0	واي وحده اسمها نوره دبه ومترهله وفيها ريحه	8	Short
1	0	0	0	0	0	0	كلب و فيران ونبح ليتك سالم من القصيدة خصوصا انك تشوفهم اقزام	12	Medium
